,Name,Party,State,District Number,Incumbent Status,Winner Status,Percentage of Vote,Total Amount Raised,Total Amount Spent
91,Tony Cardenas ,(D),California,District 29,Incumbent,Winner,56.6,1419697,1213588
92,Angelica Duenas ,(3),California,District 29,N/a,N/a,43.4,78083,76627
93,Brad Sherman ,(D),California,District 30,Incumbent,Winner,69.5,1513374,1111826
94,Pete Aguilar ,(D),California,District 31,Incumbent,Winner,61.3,2475748,1861434
95,Agnes Gibboney ,(R),California,District 31,N/a,N/a,38.7,138687,127907
96,Grace Napolitano ,(D),California,District 32,Incumbent,Winner,66.6,478426,251047
97,Joshua Scott ,(R),California,District 32,N/a,N/a,33.4,23624,14248
98,Ted Lieu ,(D),California,District 33,Incumbent,Winner,67.6,1661436,1582573
99,James Bradley ,(R),California,District 33,N/a,N/a,32.4,78910,79035
100,Jimmy Gomez ,(D),California,District 34,Incumbent,Winner,53.0,1401166,1268312
101,David Kim ,(D),California,District 34,N/a,N/a,47.0,193430,80381
102,Norma Torres ,(D),California,District 35,Incumbent,Winner,69.3,654727,664600
103,Mike Cargile ,(R),California,District 35,N/a,N/a,30.7,36113,35915
104,Raul Ruiz ,(D),California,District 36,Incumbent,Winner,60.3,2402624,1732443
105,Erin Cruz ,(R),California,District 36,N/a,N/a,39.7,54217,53840
106,Karen Bass ,(D),California,District 37,Incumbent,Winner,85.9,2216467,1202942
107,Errol Webber ,(R),California,District 37,N/a,N/a,14.1,66398,174076
108,Linda Sanchez ,(D),California,District 38,Incumbent,Winner,74.3,1246008,1140165
109,Gil Cisneros ,(D),California,District 39,Incumbent,N/a,49.4,4370133,4350464
110,Young Kim ,(R),California,District 39,N/a,Winner,50.6,6424556,6021651
111,Lucille Roybal-Allard ,(D),California,District 40,Incumbent,Winner,72.7,739790,741379
112,Antonio Delgado ,(R),California,District 40,N/a,N/a,27.3,85014,79270
113,Mark Takano ,(D),California,District 41,Incumbent,Winner,64.0,1020456,949494
114,Aja Smith ,(R),California,District 41,N/a,N/a,36.0,660658,659909
115,Ken Calvert ,(R),California,District 42,Incumbent,Winner,57.1,1441812,1549113
116,Liam O'Mara ,(D),California,District 42,N/a,N/a,42.9,130065,128782
117,Maxine Waters ,(D),California,District 43,Incumbent,Winner,71.7,1836660,1906957
118,Joe Collins ,(R),California,District 43,N/a,N/a,28.3,10556626,9921103
119,Nanette Barragan ,(D),California,District 44,Incumbent,Winner,67.8,1173909,714023
120,Katie Porter ,(D),California,District 45,Incumbent,Winner,53.5,16627706,6443700
121,Greg Raths ,(R),California,District 45,N/a,N/a,46.5,1245767,1241713
122,Lou Correa ,(D),California,District 46,Incumbent,Winner,68.8,1192715,650707
123,Alan Lowenthal ,(D),California,District 47,Incumbent,Winner,63.3,678648,854902
124,John Briscoe ,(R),California,District 47,N/a,N/a,36.7,25302,21538
125,Harley Rouda ,(D),California,District 48,Incumbent,N/a,48.9,5968858,6174443
126,Michelle Steel ,(R),California,District 48,N/a,Winner,51.1,6305665,6148591
127,Mike Levin ,(D),California,District 49,Incumbent,Winner,53.1,3845768,2901566
128,Brian Maryott ,(R),California,District 49,N/a,N/a,46.9,2810253,2808217
129,Darrell Issa ,(R),California,District 50,N/a,Winner,54.0,11239670,10947106
130,Ammar Campa-Najjar ,(D),California,District 50,N/a,N/a,46.0,6248210,6247762
131,Juan Vargas ,(D),California,District 51,Incumbent,Winner,68.3,799734,801671
132,Juan Hidalgo ,(R),California,District 51,N/a,N/a,31.7,83730,81182
133,Scott Peters ,(D),California,District 52,Incumbent,Winner,61.6,1911791,2131849
134,James Debello ,(R),California,District 52,N/a,N/a,38.4,233464,224630
135,Sara Jacobs ,(D),California,District 53,N/a,Winner,59.5,7678363,7586186
136,Georgette Gomez ,(D),California,District 53,N/a,N/a,40.5,1691794,1663252
137,Diana DeGette ,(D),Colorado,District 01,Incumbent,Winner,73.7,1201026,1077130
138,Joseph Neguse ,(D),Colorado,District 02,Incumbent,Winner,61.5,1353325,674602
139,Charles Winn ,(R),Colorado,District 02,N/a,N/a,35.4,98338,98338
140,Alex Johnson ,(I),Colorado,District 02,N/a,N/a,0.0,4782,4093
141,Diane Mitsch Bush ,(D),Colorado,District 03,N/a,N/a,45.2,5008274,4984238
142,Lauren Boebert ,(R),Colorado,District 03,N/a,Winner,51.4,2989510,2632716
143,Chris Milton ,(3),Colorado,District 03,N/a,N/a,1.0,12012,12012
144,Ken Buck ,(R),Colorado,District 04,Incumbent,Winner,60.1,478984,539393
145,Ike McCorkle ,(D),Colorado,District 04,N/a,N/a,36.1,369871,217398
146,Doug Lamborn ,(R),Colorado,District 05,Incumbent,Winner,57.6,540712,329011
147,Jillian Freeland ,(D),Colorado,District 05,N/a,N/a,37.4,185255,175548
148,Rebecca Keltie ,(3),Colorado,District 05,N/a,N/a,0.8,2552,1495
149,Jason Crow ,(D),Colorado,District 06,Incumbent,Winner,57.1,4136137,2892443
150,Steven House ,(R),Colorado,District 06,N/a,N/a,40.0,1200056,1198044
151,Jaimie Kulikowski ,(3),Colorado,District 06,N/a,N/a,0.9,72293,110645
152,Ed Perlmutter ,(D),Colorado,District 07,Incumbent,Winner,59.1,1632262,1339482
153,Casper Stockham ,(R),Colorado,District 07,N/a,N/a,37.6,147872,147872
154,Anthony Malgieri ,(I),Colorado,District 07,N/a,N/a,0.0,1930,1958
155,John Larson ,(D),Connecticut,District 01,Incumbent,Winner,63.7,1377238,1323690
156,Mary Fay ,(R),Connecticut,District 01,N/a,N/a,35.0,26836,25118
157,Joe Courtney ,(D),Connecticut,District 02,Incumbent,Winner,59.4,964731,999360
158,Justin Anderson ,(R),Connecticut,District 02,N/a,N/a,38.2,80227,78767
159,Rosa DeLauro ,(D),Connecticut,District 03,Incumbent,Winner,58.7,1938999,1795635
160,Margaret Streicker ,(R),Connecticut,District 03,N/a,N/a,39.8,1839080,1835385
161,Justin Paglino ,(3),Connecticut,District 03,N/a,N/a,1.5,29200,28670
162,Jim Himes ,(D),Connecticut,District 04,Incumbent,Winner,62.3,1612935,2180029
163,Jonathan Riddle ,(R),Connecticut,District 04,N/a,N/a,36.2,31591,17385
164,Jahana Hayes ,(D),Connecticut,District 05,Incumbent,Winner,55.1,2037826,1564685
165,David Sullivan ,(R),Connecticut,District 05,N/a,N/a,43.5,397395,397370
166,Lisa Blunt Rochester ,(D),Delaware,District 01,Incumbent,Winner,57.6,2024201,1305618
167,Lee Murphy ,(R),Delaware,District 01,N/a,N/a,40.2,131394,131862
168,Catherine Purcell ,(I),Delaware,District 01,N/a,N/a,1.4,5344,5103
169,Matt Gaetz ,(R),Florida,District 01,Incumbent,Winner,64.6,5946646,4482782
170,Phil Ehr ,(D),Florida,District 01,N/a,N/a,34.0,2025099,1900451
171,Bert Oram ,(I),Florida,District 01,N/a,N/a,1.4,8108,7070
172,Neal Dunn ,(R),Florida,District 02,Incumbent,Winner,98.0,653488,637580
173,Kristy Thripp ,(I),Florida,District 02,N/a,N/a,0.0,145,145
174,Kat Cammack ,(R),Florida,District 03,N/a,Winner,57.1,1122188,1090334
175,Adam Christensen ,(D),Florida,District 03,N/a,N/a,42.9,216021,219108
176,John Rutherford ,(R),Florida,District 04,Incumbent,Winner,61.1,1024912,1283701
177,Donna Deegan ,(D),Florida,District 04,N/a,N/a,38.9,1013157,1013157
178,Al Lawson ,(D),Florida,District 05,Incumbent,Winner,65.1,848498,695779
179,Gary Adler ,(R),Florida,District 05,N/a,N/a,34.9,146909,146909
180,Michael Waltz ,(R),Florida,District 06,Incumbent,Winner,60.6,2549667,1716768
181,Clint Curtis ,(D),Florida,District 06,N/a,N/a,39.4,24310,22251
182,Gerry Nolan ,(I),Florida,District 06,N/a,N/a,0.0,4467,5256
183,Stephanie Murphy ,(D),Florida,District 07,Incumbent,Winner,55.3,3124692,1798549
184,Leo Valentin ,(R),Florida,District 07,N/a,N/a,43.2,1045426,1031316
185,Bill Garlington ,(I),Florida,District 07,N/a,N/a,1.4,11000,0
186,Bill Posey ,(R),Florida,District 08,Incumbent,Winner,61.4,985268,1121834
187,James Kennedy ,(D),Florida,District 08,N/a,N/a,38.6,138568,138790
188,Darren Soto ,(D),Florida,District 09,Incumbent,Winner,56.0,1111750,945868
189,William Olson ,(R),Florida,District 09,N/a,N/a,44.0,404406,401088
190,Val Demings ,(D),Florida,District 10,Incumbent,Winner,63.6,1876047,1191020
191,Vennia Francois ,(R),Florida,District 10,N/a,N/a,36.4,335480,332852
192,Kristofer Steven Lawson ,(I),Florida,District 10,N/a,N/a,0.0,47,47
193,Daniel Webster ,(R),Florida,District 11,Incumbent,Winner,66.7,691261,586965
194,Dana Cottrell ,(D),Florida,District 11,N/a,N/a,33.3,62658,62380
195,Gus Bilirakis ,(R),Florida,District 12,Incumbent,Winner,62.9,1604137,1548634
196,Kim Walker ,(D),Florida,District 12,N/a,N/a,37.1,42802,33544
197,Charlie Crist ,(D),Florida,District 13,Incumbent,Winner,53.0,2720646,3980695
198,Anna Paulina Luna ,(R),Florida,District 13,N/a,N/a,47.0,3302944,3262236
199,Kathy Castor ,(D),Florida,District 14,Incumbent,Winner,60.3,884651,1201653
200,Christine Quinn ,(R),Florida,District 14,N/a,N/a,39.7,242144,241187
201,Alan Cohn ,(D),Florida,District 15,N/a,N/a,44.6,2333053,2300197
202,Scott Franklin ,(R),Florida,District 15,N/a,Winner,55.4,1663898,1638417
203,Vernon Buchanan ,(R),Florida,District 16,Incumbent,Winner,55.5,3094611,3100766
204,Margaret Good ,(D),Florida,District 16,N/a,N/a,44.5,3411924,3407845
205,Greg Steube ,(R),Florida,District 17,Incumbent,Winner,64.6,759908,621200
206,Allen Ellison ,(D),Florida,District 17,N/a,N/a,34.1,83481,78243
207,Brian Mast ,(R),Florida,District 18,Incumbent,Winner,56.4,6128177,5301307
208,Pam Keith ,(D),Florida,District 18,N/a,N/a,41.5,1639873,1632736
209,Byron Donalds ,(R),Florida,District 19,N/a,Winner,61.3,3219579,2738685
210,Cindy Banyai ,(D),Florida,District 19,N/a,N/a,38.7,214750,203430
211,Alcee Hastings ,(D),Florida,District 20,Incumbent,Winner,78.7,607649,543316
212,Greg Musselwhite ,(R),Florida,District 20,N/a,N/a,21.3,28955,27538
213,Lois Frankel ,(D),Florida,District 21,Incumbent,Winner,59.0,1534882,1309786
214,Laura Loomer ,(R),Florida,District 21,N/a,N/a,39.1,2271604,2240689
215,Charleston Malkemus ,(I),Florida,District 21,N/a,N/a,1.9,28928,28636
216,Ted Deutch ,(D),Florida,District 22,Incumbent,Winner,58.6,1364438,1265494
217,Jim Pruden ,(R),Florida,District 22,N/a,N/a,41.4,278416,278416
218,Debbie Wasserman Schultz ,(D),Florida,District 23,Incumbent,Winner,58.2,2191922,1979903
219,Carla Spalding ,(R),Florida,District 23,N/a,N/a,41.8,919579,903561
220,Frederica Wilson ,(D),Florida,District 24,Incumbent,Winner,75.6,412592,321019
221,Lavern Spicer ,(R),Florida,District 24,N/a,N/a,20.4,34973,34909
222,Christine Olivo ,(I),Florida,District 24,N/a,N/a,4.0,31646,32898
223,Mario Diaz-Balart ,(R),Florida,District 25,Incumbent,Winner,100.0,1590134,804054
224,Debbie Mucarsel-Powell ,(D),Florida,District 26,Incumbent,N/a,48.3,6793521,6822740
225,Carlos Gimenez ,(R),Florida,District 26,N/a,Winner,51.7,2226559,2187389
226,Donna Shalala ,(D),Florida,District 27,Incumbent,N/a,48.6,3842907,3735966
227,Maria Salazar ,(R),Florida,District 27,N/a,Winner,51.4,3654190,3645814
228,Frank Polo ,(I),Florida,District 27,N/a,N/a,0.0,4606,4662
229,Buddy Carter ,(R),Georgia,District 01,Incumbent,Winner,58.4,2315487,1734754
230,Joyce Griggs ,(D),Georgia,District 01,N/a,N/a,41.7,130043,125000
231,Sanford Bishop ,(D),Georgia,District 02,Incumbent,Winner,59.1,1540683,1440571
232,Don Cole ,(R),Georgia,District 02,N/a,N/a,40.9,164274,162522
233,Drew Ferguson ,(R),Georgia,District 03,Incumbent,Winner,65.0,2374212,2150911
234,Val Almonord ,(D),Georgia,District 03,N/a,N/a,35.0,35762,31946
235,Hank Johnson ,(D),Georgia,District 04,Incumbent,Winner,80.1,628303,490360
236,Johsira C. Cruz ,(R),Georgia,District 04,N/a,N/a,19.9,12954,23146
237,Nikema Williams ,(D),Georgia,District 05,N/a,Winner,85.2,553964,362801
238,Robert Franklin ,(D),Georgia,District 05,N/a,N/a,0.0,360473,358394
239,Angela Stanton-King ,(R),Georgia,District 05,N/a,N/a,14.9,305279,301338
240,Kwanza Hall ,(D),Georgia,District 05,N/a,N/a,0.0,239597,227091
241,Barrington Martin II ,(D),Georgia,District 05,N/a,N/a,0.0,16522,16517
242,Chase Oliver ,(L),Georgia,District 05,N/a,N/a,0.0,9225,5220
243,Steven Muhammad ,(I),Georgia,District 05,N/a,N/a,0.0,3497,-4965
244,Keisha Waites ,(D),Georgia,District 05,N/a,N/a,0.0,875,0
245,Lucy McBath ,(D),Georgia,District 06,Incumbent,Winner,54.6,8507298,8586054
246,Karen Handel ,(R),Georgia,District 06,N/a,N/a,45.4,3026243,3072932
247,Carolyn Bourdeaux ,(D),Georgia,District 07,N/a,Winner,54.4,5133244,5161230
248,Richard McCormick ,(R),Georgia,District 07,N/a,N/a,48.6,2595446,2563724
249,Austin Scott ,(R),Georgia,District 08,Incumbent,Winner,64.5,821745,716159
250,Jimmy Cooper ,(3),Georgia,District 08,N/a,N/a,0.0,8542,8528
251,Lindsay Holliday ,(D),Georgia,District 08,N/a,N/a,35.5,7480,5220
252,Andrew Clyde ,(R),Georgia,District 09,N/a,Winner,78.6,1569425,1561316
253,Devin Pandy ,(D),Georgia,District 09,N/a,N/a,21.4,84272,84623
254,Jody Hice ,(R),Georgia,District 10,Incumbent,Winner,62.3,595947,457648
255,Tabitha Johnson-Green ,(D),Georgia,District 10,N/a,N/a,37.7,14808,12214
256,Barry Loudermilk ,(R),Georgia,District 11,Incumbent,Winner,60.4,877767,700851
257,Dana Barrett ,(D),Georgia,District 11,N/a,N/a,39.6,404625,394977
258,Richard W Allen ,(R),Georgia,District 12,Incumbent,Winner,58.4,1228970,662818
259,Liz Johnson ,(D),Georgia,District 12,N/a,N/a,41.6,72061,72061
260,David Scott ,(D),Georgia,District 13,Incumbent,Winner,77.4,1209614,1131746
261,Becky Hites ,(R),Georgia,District 13,N/a,N/a,22.6,63509,62935
262,Martin Cowen ,(L),Georgia,District 13,N/a,N/a,0.0,13460,13464
263,Marjorie Taylor Greene ,(R),Georgia,District 14,N/a,Winner,74.8,2596914,2237599
264,Ed Case ,(D),Hawaii,District 01,Incumbent,N/a,64.7,508249,472569
265,Ron Curtis ,(R),Hawaii,District 01,N/a,N/a,25.1,12538,12647
266,Kai Kahele ,(D),Hawaii,District 02,N/a,Winner,57.9,1235523,1039637
267,Joe Akana ,(R),Hawaii,District 02,N/a,N/a,28.3,54534,55344
268,Jonathan Hoomanawanui ,(3),Hawaii,District 02,N/a,N/a,2.2,1883,1522
269,Russ Fulcher ,(R),Idaho,District 01,Incumbent,Winner,67.8,575485,508457
270,Rudy Soto ,(D),Idaho,District 01,N/a,N/a,28.7,302902,302902
271,Mike Simpson ,(R),Idaho,District 02,Incumbent,Winner,64.1,1008847,1099604
272,Aaron Swisher ,(D),Idaho,District 02,N/a,N/a,31.7,70674,70268
273,Bobby Rush ,(D),Illinois,District 01,Incumbent,Winner,73.8,541435,496454
274,Philanise White ,(R),Illinois,District 01,N/a,N/a,26.2,6289,5048
275,Robin Kelly ,(D),Illinois,District 02,Incumbent,Winner,78.8,1634783,1108137
276,Marie Newman ,(D),Illinois,District 03,N/a,Winner,56.4,2802093,2699323
277,Mike Fricilone ,(R),Illinois,District 03,N/a,N/a,43.6,128458,127980
278,Jesus Garcia ,(D),Illinois,District 04,Incumbent,Winner,16.0,822846,711159
279,Jesus Solorio Jr ,(R),Illinois,District 04,N/a,N/a,84.0,2065,843
280,Mike Quigley ,(D),Illinois,District 05,Incumbent,Winner,70.8,1171507,926655
281,Sean Casten ,(D),Illinois,District 06,Incumbent,Winner,52.8,5582179,5313570
282,Jeanne Ives ,(R),Illinois,District 06,N/a,N/a,45.4,3157771,3135464
283,Bill Redpath ,(L),Illinois,District 06,N/a,N/a,1.7,9837,9837
284,Danny K Davis ,(D),Illinois,District 07,Incumbent,Winner,80.4,544690,505506
285,Tracy Jennings ,(3),Illinois,District 07,N/a,N/a,6.2,65283,65283
286,Raja Krishnamoorthi ,(D),Illinois,District 08,Incumbent,Winner,73.2,6358878,2207703
287,Jan Schakowsky ,(D),Illinois,District 09,Incumbent,Winner,71.0,1834801,1514838
288,Sargis Sangari ,(R),Illinois,District 09,N/a,N/a,29.0,35364,34715
289,Brad Schneider ,(D),Illinois,District 10,Incumbent,Winner,63.8,3459512,2873333
290,Valerie Ramirez Mukherjee ,(R),Illinois,District 10,N/a,N/a,36.2,130225,64764
291,Bill Foster ,(D),Illinois,District 11,Incumbent,Winner,63.3,2381354,1823906
292,Rick Laib ,(R),Illinois,District 11,N/a,N/a,36.7,20343,20064
293,Mike Bost ,(R),Illinois,District 12,Incumbent,Winner,60.6,1918041,1509573
294,Ray Lenzi ,(D),Illinois,District 12,N/a,N/a,39.4,161324,104809
295,Rodney Davis ,(R),Illinois,District 13,Incumbent,Winner,54.4,4943459,4822600
296,Betsy Dirksen Londrigan ,(D),Illinois,District 13,N/a,N/a,45.6,5297007,5281880
297,Lauren A Underwood ,(D),Illinois,District 14,Incumbent,Winner,50.7,7803579,7301503
298,Jim Oberweis ,(R),Illinois,District 14,N/a,N/a,49.3,2438857,2348798
299,Mary Miller ,(R),Illinois,District 15,N/a,Winner,73.5,689057,570356
300,Erika Weaver ,(D),Illinois,District 15,N/a,N/a,26.5,58689,23349
301,Adam Kinzinger ,(R),Illinois,District 16,Incumbent,Winner,64.8,2105736,1588550
302,Dani Brzozowski ,(D),Illinois,District 16,N/a,N/a,35.2,459344,376167
303,Cheri Bustos ,(D),Illinois,District 17,Incumbent,Winner,52.0,4975192,6391009
304,Esther Joy King ,(R),Illinois,District 17,N/a,N/a,48.0,2032878,2030587
305,Darin LaHood ,(R),Illinois,District 18,Incumbent,Winner,70.5,3248113,1749128
306,Frank Mrvan Jr ,(D),Indiana,District 01,N/a,Winner,56.6,578635,464407
307,Mark Leyva ,(R),Indiana,District 01,N/a,N/a,40.4,16551,15343
308,Jackie Walorski ,(R),Indiana,District 02,Incumbent,Winner,61.5,2383467,1698202
309,Pat Hackett ,(D),Indiana,District 02,N/a,N/a,38.5,881888,867301
310,Jim Banks ,(R),Indiana,District 03,Incumbent,Winner,67.8,1202509,769591
311,Chip Coldiron ,(D),Indiana,District 03,N/a,N/a,32.2,94056,89883
312,Jim Baird ,(R),Indiana,District 04,Incumbent,Winner,66.6,327727,190158
313,Joe Mackey ,(D),Indiana,District 04,N/a,N/a,33.4,44585,43213
314,Christina Hale ,(D),Indiana,District 05,N/a,N/a,45.9,4010368,3998905
315,Victoria Spartz ,(R),Indiana,District 05,N/a,Winner,50.0,3119328,3010203
316,Greg Pence ,(R),Indiana,District 06,Incumbent,Winner,68.7,3114448,2804148
317,Jeannine Lee Lake ,(D),Indiana,District 06,N/a,N/a,27.7,143089,145315
318,Andre Carson ,(D),Indiana,District 07,Incumbent,Winner,62.4,1011635,873962
319,Susan Marie Smith ,(R),Indiana,District 07,N/a,N/a,37.6,62905,59843
320,Larry Bucshon ,(R),Indiana,District 08,Incumbent,Winner,66.9,1051336,1078646
321,Thomasina Marsili ,(D),Indiana,District 08,N/a,N/a,29.8,68734,68480
322,Trey Hollingsworth ,(R),Indiana,District 09,Incumbent,Winner,60.9,1166754,501136
323,Andy Ruff ,(D),Indiana,District 09,N/a,N/a,34.8,148263,134906
324,Tonya Millis ,(L),Indiana,District 09,N/a,N/a,4.3,10224,10041
325,Abby Finkenauer ,(D),Iowa,District 01,Incumbent,N/a,48.7,5901441,5875405
326,Ashley Hinson ,(R),Iowa,District 01,N/a,Winner,51.3,5175883,5059211
327,Rita Hart ,(D),Iowa,District 02,N/a,N/a,50.0,4232992,4114400
