,Name,Party,State,District Number,Incumbent Status,Winner Status,Percentage of Vote,Total Amount Raised,Total Amount Spent,State_District
55,Josh Harder ,(D),CA, 10,Incumbent,Winner,55.2,7400135,3950613,CA10
56,Ted Howze ,(R),CA, 10,N/a,N/a,44.8,1426552,1721882,CA10
57,Mark Desaulnier ,(D),CA, 11,Incumbent,Winner,73.0,610394,440537,CA11
58,Nisha Sharma ,(R),CA, 11,N/a,N/a,27.0,174954,171870,CA11
59,Nancy Pelosi ,(D),CA, 12,Incumbent,Winner,77.6,27359508,22064953,CA12
60,Shahid Buttar ,(D),CA, 12,N/a,N/a,22.4,1672876,1650467,CA12
61,Barbara Lee ,(D),CA, 13,Incumbent,Winner,90.4,1828213,1750142,CA13
62,Nikka Piterman ,(R),CA, 13,N/a,N/a,9.6,9839,9904,CA13
63,Jackie Speier ,(D),CA, 14,Incumbent,Winner,79.3,942934,919599,CA14
64,Eric Swalwell ,(D),CA, 15,Incumbent,Winner,70.9,2807774,3977839,CA15
65,Jim Costa ,(D),CA, 16,Incumbent,Winner,59.3,2135525,1835244,CA16
66,Kevin Cookingham ,(R),CA, 16,N/a,N/a,40.7,265364,265364,CA16
67,Ro Khanna ,(D),CA, 17,Incumbent,Winner,71.3,3837982,2455457,CA17
68,Ritesh Tandon ,(R),CA, 17,N/a,N/a,28.7,175536,175015,CA17
69,Anna Eshoo ,(D),CA, 18,Incumbent,Winner,63.2,2114909,2059158,CA18
70,Rishi Kumar ,(D),CA, 18,N/a,N/a,36.8,674383,691938,CA18
71,Zoe Lofgren ,(D),CA, 19,Incumbent,Winner,71.7,1755555,1731700,CA19
72,Justin Aguilera ,(R),CA, 19,N/a,N/a,28.3,9112,11542,CA19
73,Jimmy Panetta ,(D),CA, 20,Incumbent,Winner,76.8,2009894,1592671,CA20
74,Jeff Gorman ,(R),CA, 20,N/a,N/a,23.2,67634,64947,CA20
75,TJ Cox ,(D),CA, 21,Incumbent,N/a,49.6,5695157,5694005,CA21
76,David Valadao ,(R),CA, 21,N/a,Winner,50.4,4067880,3982587,CA21
77,Devin Nunes ,(R),CA, 22,Incumbent,Winner,54.2,26825212,20156093,CA22
78,Phil Arballo ,(D),CA, 22,N/a,N/a,45.8,5091451,5062185,CA22
79,Kevin McCarthy ,(R),CA, 23,Incumbent,Winner,62.1,27780644,24265583,CA23
80,Kim Mangone ,(D),CA, 23,N/a,N/a,37.9,1671101,1665373,CA23
81,Salud Carbajal ,(D),CA, 24,Incumbent,Winner,58.7,2117836,1451622,CA24
82,Andy Caldwell ,(R),CA, 24,N/a,N/a,41.3,1298798,1268199,CA24
83,Mike Garcia ,(R),CA, 25,Incumbent,Winner,50.0,9962507,9584648,CA25
84,Christy Smith ,(D),CA, 25,N/a,N/a,50.0,5977734,5808477,CA25
85,Julia Brownley ,(D),CA, 26,Incumbent,Winner,60.6,1976695,1314677,CA26
86,Ronda Kennedy ,(R),CA, 26,N/a,N/a,39.4,246226,67208,CA26
87,Judy Chu ,(D),CA, 27,Incumbent,Winner,69.8,1213706,956298,CA27
88,Johnny Nalbandian ,(R),CA, 27,N/a,N/a,30.2,39584,39159,CA27
89,Adam Schiff ,(D),CA, 28,Incumbent,Winner,72.7,19382855,10188664,CA28
90,Eric Early ,(R),CA, 28,N/a,N/a,27.3,4085322,3790027,CA28
91,Tony Cardenas ,(D),CA, 29,Incumbent,Winner,56.6,1419697,1213588,CA29
92,Angelica Duenas ,(3),CA, 29,N/a,N/a,43.4,78083,76627,CA29
93,Brad Sherman ,(D),CA, 30,Incumbent,Winner,69.5,1513374,1111826,CA30
94,Pete Aguilar ,(D),CA, 31,Incumbent,Winner,61.3,2475748,1861434,CA31
95,Agnes Gibboney ,(R),CA, 31,N/a,N/a,38.7,138687,127907,CA31
96,Grace Napolitano ,(D),CA, 32,Incumbent,Winner,66.6,478426,251047,CA32
97,Joshua Scott ,(R),CA, 32,N/a,N/a,33.4,23624,14248,CA32
98,Ted Lieu ,(D),CA, 33,Incumbent,Winner,67.6,1661436,1582573,CA33
99,James Bradley ,(R),CA, 33,N/a,N/a,32.4,78910,79035,CA33
100,Jimmy Gomez ,(D),CA, 34,Incumbent,Winner,53.0,1401166,1268312,CA34
101,David Kim ,(D),CA, 34,N/a,N/a,47.0,193430,80381,CA34
102,Norma Torres ,(D),CA, 35,Incumbent,Winner,69.3,654727,664600,CA35
103,Mike Cargile ,(R),CA, 35,N/a,N/a,30.7,36113,35915,CA35
104,Raul Ruiz ,(D),CA, 36,Incumbent,Winner,60.3,2402624,1732443,CA36
105,Erin Cruz ,(R),CA, 36,N/a,N/a,39.7,54217,53840,CA36
106,Karen Bass ,(D),CA, 37,Incumbent,Winner,85.9,2216467,1202942,CA37
107,Errol Webber ,(R),CA, 37,N/a,N/a,14.1,66398,174076,CA37
108,Linda Sanchez ,(D),CA, 38,Incumbent,Winner,74.3,1246008,1140165,CA38
109,Gil Cisneros ,(D),CA, 39,Incumbent,N/a,49.4,4370133,4350464,CA39
110,Young Kim ,(R),CA, 39,N/a,Winner,50.6,6424556,6021651,CA39
111,Lucille Roybal-Allard ,(D),CA, 40,Incumbent,Winner,72.7,739790,741379,CA40
112,Antonio Delgado ,(R),CA, 40,N/a,N/a,27.3,85014,79270,CA40
113,Mark Takano ,(D),CA, 41,Incumbent,Winner,64.0,1020456,949494,CA41
114,Aja Smith ,(R),CA, 41,N/a,N/a,36.0,660658,659909,CA41
115,Ken Calvert ,(R),CA, 42,Incumbent,Winner,57.1,1441812,1549113,CA42
116,Liam O'Mara ,(D),CA, 42,N/a,N/a,42.9,130065,128782,CA42
117,Maxine Waters ,(D),CA, 43,Incumbent,Winner,71.7,1836660,1906957,CA43
118,Joe Collins ,(R),CA, 43,N/a,N/a,28.3,10556626,9921103,CA43
119,Nanette Barragan ,(D),CA, 44,Incumbent,Winner,67.8,1173909,714023,CA44
120,Katie Porter ,(D),CA, 45,Incumbent,Winner,53.5,16627706,6443700,CA45
121,Greg Raths ,(R),CA, 45,N/a,N/a,46.5,1245767,1241713,CA45
122,Lou Correa ,(D),CA, 46,Incumbent,Winner,68.8,1192715,650707,CA46
123,Alan Lowenthal ,(D),CA, 47,Incumbent,Winner,63.3,678648,854902,CA47
124,John Briscoe ,(R),CA, 47,N/a,N/a,36.7,25302,21538,CA47
125,Harley Rouda ,(D),CA, 48,Incumbent,N/a,48.9,5968858,6174443,CA48
126,Michelle Steel ,(R),CA, 48,N/a,Winner,51.1,6305665,6148591,CA48
127,Mike Levin ,(D),CA, 49,Incumbent,Winner,53.1,3845768,2901566,CA49
128,Brian Maryott ,(R),CA, 49,N/a,N/a,46.9,2810253,2808217,CA49
129,Darrell Issa ,(R),CA, 50,N/a,Winner,54.0,11239670,10947106,CA50
130,Ammar Campa-Najjar ,(D),CA, 50,N/a,N/a,46.0,6248210,6247762,CA50
131,Juan Vargas ,(D),CA, 51,Incumbent,Winner,68.3,799734,801671,CA51
132,Juan Hidalgo ,(R),CA, 51,N/a,N/a,31.7,83730,81182,CA51
133,Scott Peters ,(D),CA, 52,Incumbent,Winner,61.6,1911791,2131849,CA52
134,James Debello ,(R),CA, 52,N/a,N/a,38.4,233464,224630,CA52
135,Sara Jacobs ,(D),CA, 53,N/a,Winner,59.5,7678363,7586186,CA53
136,Georgette Gomez ,(D),CA, 53,N/a,N/a,40.5,1691794,1663252,CA53
137,Diana DeGette ,(D),CO, 01,Incumbent,Winner,73.7,1201026,1077130,CO01
138,Joseph Neguse ,(D),CO, 02,Incumbent,Winner,61.5,1353325,674602,CO02
139,Charles Winn ,(R),CO, 02,N/a,N/a,35.4,98338,98338,CO02
140,Alex Johnson ,(I),CO, 02,N/a,N/a,0.0,4782,4093,CO02
141,Diane Mitsch Bush ,(D),CO, 03,N/a,N/a,45.2,5008274,4984238,CO03
142,Lauren Boebert ,(R),CO, 03,N/a,Winner,51.4,2989510,2632716,CO03
143,Chris Milton ,(3),CO, 03,N/a,N/a,1.0,12012,12012,CO03
144,Ken Buck ,(R),CO, 04,Incumbent,Winner,60.1,478984,539393,CO04
145,Ike McCorkle ,(D),CO, 04,N/a,N/a,36.1,369871,217398,CO04
146,Doug Lamborn ,(R),CO, 05,Incumbent,Winner,57.6,540712,329011,CO05
147,Jillian Freeland ,(D),CO, 05,N/a,N/a,37.4,185255,175548,CO05
148,Rebecca Keltie ,(3),CO, 05,N/a,N/a,0.8,2552,1495,CO05
149,Jason Crow ,(D),CO, 06,Incumbent,Winner,57.1,4136137,2892443,CO06
150,Steven House ,(R),CO, 06,N/a,N/a,40.0,1200056,1198044,CO06
151,Jaimie Kulikowski ,(3),CO, 06,N/a,N/a,0.9,72293,110645,CO06
152,Ed Perlmutter ,(D),CO, 07,Incumbent,Winner,59.1,1632262,1339482,CO07
153,Casper Stockham ,(R),CO, 07,N/a,N/a,37.6,147872,147872,CO07
154,Anthony Malgieri ,(I),CO, 07,N/a,N/a,0.0,1930,1958,CO07
155,John Larson ,(D),CT, 01,Incumbent,Winner,63.7,1377238,1323690,CT01
156,Mary Fay ,(R),CT, 01,N/a,N/a,35.0,26836,25118,CT01
157,Joe Courtney ,(D),CT, 02,Incumbent,Winner,59.4,964731,999360,CT02
158,Justin Anderson ,(R),CT, 02,N/a,N/a,38.2,80227,78767,CT02
159,Rosa DeLauro ,(D),CT, 03,Incumbent,Winner,58.7,1938999,1795635,CT03
160,Margaret Streicker ,(R),CT, 03,N/a,N/a,39.8,1839080,1835385,CT03
161,Justin Paglino ,(3),CT, 03,N/a,N/a,1.5,29200,28670,CT03
162,Jim Himes ,(D),CT, 04,Incumbent,Winner,62.3,1612935,2180029,CT04
163,Jonathan Riddle ,(R),CT, 04,N/a,N/a,36.2,31591,17385,CT04
164,Jahana Hayes ,(D),CT, 05,Incumbent,Winner,55.1,2037826,1564685,CT05
165,David Sullivan ,(R),CT, 05,N/a,N/a,43.5,397395,397370,CT05
166,Lisa Blunt Rochester ,(D),DE, 01,Incumbent,Winner,57.6,2024201,1305618,DE01
167,Lee Murphy ,(R),DE, 01,N/a,N/a,40.2,131394,131862,DE01
168,Catherine Purcell ,(I),DE, 01,N/a,N/a,1.4,5344,5103,DE01
169,Matt Gaetz ,(R),FL, 01,Incumbent,Winner,64.6,5946646,4482782,FL01
170,Phil Ehr ,(D),FL, 01,N/a,N/a,34.0,2025099,1900451,FL01
171,Bert Oram ,(I),FL, 01,N/a,N/a,1.4,8108,7070,FL01
172,Neal Dunn ,(R),FL, 02,Incumbent,Winner,98.0,653488,637580,FL02
173,Kristy Thripp ,(I),FL, 02,N/a,N/a,0.0,145,145,FL02
174,Kat Cammack ,(R),FL, 03,N/a,Winner,57.1,1122188,1090334,FL03
175,Adam Christensen ,(D),FL, 03,N/a,N/a,42.9,216021,219108,FL03
176,John Rutherford ,(R),FL, 04,Incumbent,Winner,61.1,1024912,1283701,FL04
177,Donna Deegan ,(D),FL, 04,N/a,N/a,38.9,1013157,1013157,FL04
178,Al Lawson ,(D),FL, 05,Incumbent,Winner,65.1,848498,695779,FL05
179,Gary Adler ,(R),FL, 05,N/a,N/a,34.9,146909,146909,FL05
180,Michael Waltz ,(R),FL, 06,Incumbent,Winner,60.6,2549667,1716768,FL06
181,Clint Curtis ,(D),FL, 06,N/a,N/a,39.4,24310,22251,FL06
182,Gerry Nolan ,(I),FL, 06,N/a,N/a,0.0,4467,5256,FL06
183,Stephanie Murphy ,(D),FL, 07,Incumbent,Winner,55.3,3124692,1798549,FL07
184,Leo Valentin ,(R),FL, 07,N/a,N/a,43.2,1045426,1031316,FL07
185,Bill Garlington ,(I),FL, 07,N/a,N/a,1.4,11000,0,FL07
186,Bill Posey ,(R),FL, 08,Incumbent,Winner,61.4,985268,1121834,FL08
187,James Kennedy ,(D),FL, 08,N/a,N/a,38.6,138568,138790,FL08
188,Darren Soto ,(D),FL, 09,Incumbent,Winner,56.0,1111750,945868,FL09
189,William Olson ,(R),FL, 09,N/a,N/a,44.0,404406,401088,FL09
190,Val Demings ,(D),FL, 10,Incumbent,Winner,63.6,1876047,1191020,FL10
191,Vennia Francois ,(R),FL, 10,N/a,N/a,36.4,335480,332852,FL10
192,Kristofer Steven Lawson ,(I),FL, 10,N/a,N/a,0.0,47,47,FL10
193,Daniel Webster ,(R),FL, 11,Incumbent,Winner,66.7,691261,586965,FL11
194,Dana Cottrell ,(D),FL, 11,N/a,N/a,33.3,62658,62380,FL11
195,Gus Bilirakis ,(R),FL, 12,Incumbent,Winner,62.9,1604137,1548634,FL12
196,Kim Walker ,(D),FL, 12,N/a,N/a,37.1,42802,33544,FL12
197,Charlie Crist ,(D),FL, 13,Incumbent,Winner,53.0,2720646,3980695,FL13
198,Anna Paulina Luna ,(R),FL, 13,N/a,N/a,47.0,3302944,3262236,FL13
199,Kathy Castor ,(D),FL, 14,Incumbent,Winner,60.3,884651,1201653,FL14
200,Christine Quinn ,(R),FL, 14,N/a,N/a,39.7,242144,241187,FL14
201,Alan Cohn ,(D),FL, 15,N/a,N/a,44.6,2333053,2300197,FL15
202,Scott Franklin ,(R),FL, 15,N/a,Winner,55.4,1663898,1638417,FL15
203,Vernon Buchanan ,(R),FL, 16,Incumbent,Winner,55.5,3094611,3100766,FL16
204,Margaret Good ,(D),FL, 16,N/a,N/a,44.5,3411924,3407845,FL16
205,Greg Steube ,(R),FL, 17,Incumbent,Winner,64.6,759908,621200,FL17
206,Allen Ellison ,(D),FL, 17,N/a,N/a,34.1,83481,78243,FL17
207,Brian Mast ,(R),FL, 18,Incumbent,Winner,56.4,6128177,5301307,FL18
208,Pam Keith ,(D),FL, 18,N/a,N/a,41.5,1639873,1632736,FL18
209,Byron Donalds ,(R),FL, 19,N/a,Winner,61.3,3219579,2738685,FL19
210,Cindy Banyai ,(D),FL, 19,N/a,N/a,38.7,214750,203430,FL19
211,Alcee Hastings ,(D),FL, 20,Incumbent,Winner,78.7,607649,543316,FL20
212,Greg Musselwhite ,(R),FL, 20,N/a,N/a,21.3,28955,27538,FL20
213,Lois Frankel ,(D),FL, 21,Incumbent,Winner,59.0,1534882,1309786,FL21
214,Laura Loomer ,(R),FL, 21,N/a,N/a,39.1,2271604,2240689,FL21
215,Charleston Malkemus ,(I),FL, 21,N/a,N/a,1.9,28928,28636,FL21
216,Ted Deutch ,(D),FL, 22,Incumbent,Winner,58.6,1364438,1265494,FL22
217,Jim Pruden ,(R),FL, 22,N/a,N/a,41.4,278416,278416,FL22
218,Debbie Wasserman Schultz ,(D),FL, 23,Incumbent,Winner,58.2,2191922,1979903,FL23
219,Carla Spalding ,(R),FL, 23,N/a,N/a,41.8,919579,903561,FL23
220,Frederica Wilson ,(D),FL, 24,Incumbent,Winner,75.6,412592,321019,FL24
221,Lavern Spicer ,(R),FL, 24,N/a,N/a,20.4,34973,34909,FL24
222,Christine Olivo ,(I),FL, 24,N/a,N/a,4.0,31646,32898,FL24
223,Mario Diaz-Balart ,(R),FL, 25,Incumbent,Winner,100.0,1590134,804054,FL25
224,Debbie Mucarsel-Powell ,(D),FL, 26,Incumbent,N/a,48.3,6793521,6822740,FL26
225,Carlos Gimenez ,(R),FL, 26,N/a,Winner,51.7,2226559,2187389,FL26
226,Donna Shalala ,(D),FL, 27,Incumbent,N/a,48.6,3842907,3735966,FL27
227,Maria Salazar ,(R),FL, 27,N/a,Winner,51.4,3654190,3645814,FL27
228,Frank Polo ,(I),FL, 27,N/a,N/a,0.0,4606,4662,FL27
229,Buddy Carter ,(R),GA, 01,Incumbent,Winner,58.4,2315487,1734754,GA01
230,Joyce Griggs ,(D),GA, 01,N/a,N/a,41.7,130043,125000,GA01
231,Sanford Bishop ,(D),GA, 02,Incumbent,Winner,59.1,1540683,1440571,GA02
232,Don Cole ,(R),GA, 02,N/a,N/a,40.9,164274,162522,GA02
233,Drew Ferguson ,(R),GA, 03,Incumbent,Winner,65.0,2374212,2150911,GA03
234,Val Almonord ,(D),GA, 03,N/a,N/a,35.0,35762,31946,GA03
235,Hank Johnson ,(D),GA, 04,Incumbent,Winner,80.1,628303,490360,GA04
236,Johsira C. Cruz ,(R),GA, 04,N/a,N/a,19.9,12954,23146,GA04
237,Nikema Williams ,(D),GA, 05,N/a,Winner,85.2,553964,362801,GA05
238,Robert Franklin ,(D),GA, 05,N/a,N/a,0.0,360473,358394,GA05
239,Angela Stanton-King ,(R),GA, 05,N/a,N/a,14.9,305279,301338,GA05
240,Kwanza Hall ,(D),GA, 05,N/a,N/a,0.0,239597,227091,GA05
241,Barrington Martin II ,(D),GA, 05,N/a,N/a,0.0,16522,16517,GA05
242,Chase Oliver ,(L),GA, 05,N/a,N/a,0.0,9225,5220,GA05
243,Steven Muhammad ,(I),GA, 05,N/a,N/a,0.0,3497,-4965,GA05
244,Keisha Waites ,(D),GA, 05,N/a,N/a,0.0,875,0,GA05
245,Lucy McBath ,(D),GA, 06,Incumbent,Winner,54.6,8507298,8586054,GA06
246,Karen Handel ,(R),GA, 06,N/a,N/a,45.4,3026243,3072932,GA06
247,Carolyn Bourdeaux ,(D),GA, 07,N/a,Winner,54.4,5133244,5161230,GA07
248,Richard McCormick ,(R),GA, 07,N/a,N/a,48.6,2595446,2563724,GA07
249,Austin Scott ,(R),GA, 08,Incumbent,Winner,64.5,821745,716159,GA08
250,Jimmy Cooper ,(3),GA, 08,N/a,N/a,0.0,8542,8528,GA08
251,Lindsay Holliday ,(D),GA, 08,N/a,N/a,35.5,7480,5220,GA08
252,Andrew Clyde ,(R),GA, 09,N/a,Winner,78.6,1569425,1561316,GA09
253,Devin Pandy ,(D),GA, 09,N/a,N/a,21.4,84272,84623,GA09
254,Jody Hice ,(R),GA, 10,Incumbent,Winner,62.3,595947,457648,GA10
255,Tabitha Johnson-Green ,(D),GA, 10,N/a,N/a,37.7,14808,12214,GA10
256,Barry Loudermilk ,(R),GA, 11,Incumbent,Winner,60.4,877767,700851,GA11
257,Dana Barrett ,(D),GA, 11,N/a,N/a,39.6,404625,394977,GA11
258,Richard W Allen ,(R),GA, 12,Incumbent,Winner,58.4,1228970,662818,GA12
259,Liz Johnson ,(D),GA, 12,N/a,N/a,41.6,72061,72061,GA12
260,David Scott ,(D),GA, 13,Incumbent,Winner,77.4,1209614,1131746,GA13
261,Becky Hites ,(R),GA, 13,N/a,N/a,22.6,63509,62935,GA13
262,Martin Cowen ,(L),GA, 13,N/a,N/a,0.0,13460,13464,GA13
263,Marjorie Taylor Greene ,(R),GA, 14,N/a,Winner,74.8,2596914,2237599,GA14
264,Ed Case ,(D),HI, 01,Incumbent,N/a,64.7,508249,472569,HI01
265,Ron Curtis ,(R),HI, 01,N/a,N/a,25.1,12538,12647,HI01
266,Kai Kahele ,(D),HI, 02,N/a,Winner,57.9,1235523,1039637,HI02
267,Joe Akana ,(R),HI, 02,N/a,N/a,28.3,54534,55344,HI02
268,Jonathan Hoomanawanui ,(3),HI, 02,N/a,N/a,2.2,1883,1522,HI02
269,Russ Fulcher ,(R),ID, 01,Incumbent,Winner,67.8,575485,508457,ID01
270,Rudy Soto ,(D),ID, 01,N/a,N/a,28.7,302902,302902,ID01
271,Mike Simpson ,(R),ID, 02,Incumbent,Winner,64.1,1008847,1099604,ID02
272,Aaron Swisher ,(D),ID, 02,N/a,N/a,31.7,70674,70268,ID02
273,Bobby Rush ,(D),IL, 01,Incumbent,Winner,73.8,541435,496454,IL01
274,Philanise White ,(R),IL, 01,N/a,N/a,26.2,6289,5048,IL01
275,Robin Kelly ,(D),IL, 02,Incumbent,Winner,78.8,1634783,1108137,IL02
276,Marie Newman ,(D),IL, 03,N/a,Winner,56.4,2802093,2699323,IL03
277,Mike Fricilone ,(R),IL, 03,N/a,N/a,43.6,128458,127980,IL03
278,Jesus Garcia ,(D),IL, 04,Incumbent,Winner,16.0,822846,711159,IL04
279,Jesus Solorio Jr ,(R),IL, 04,N/a,N/a,84.0,2065,843,IL04
280,Mike Quigley ,(D),IL, 05,Incumbent,Winner,70.8,1171507,926655,IL05
281,Sean Casten ,(D),IL, 06,Incumbent,Winner,52.8,5582179,5313570,IL06
282,Jeanne Ives ,(R),IL, 06,N/a,N/a,45.4,3157771,3135464,IL06
283,Bill Redpath ,(L),IL, 06,N/a,N/a,1.7,9837,9837,IL06
284,Danny K Davis ,(D),IL, 07,Incumbent,Winner,80.4,544690,505506,IL07
285,Tracy Jennings ,(3),IL, 07,N/a,N/a,6.2,65283,65283,IL07
286,Raja Krishnamoorthi ,(D),IL, 08,Incumbent,Winner,73.2,6358878,2207703,IL08
287,Jan Schakowsky ,(D),IL, 09,Incumbent,Winner,71.0,1834801,1514838,IL09
288,Sargis Sangari ,(R),IL, 09,N/a,N/a,29.0,35364,34715,IL09
289,Brad Schneider ,(D),IL, 10,Incumbent,Winner,63.8,3459512,2873333,IL10
290,Valerie Ramirez Mukherjee ,(R),IL, 10,N/a,N/a,36.2,130225,64764,IL10
291,Bill Foster ,(D),IL, 11,Incumbent,Winner,63.3,2381354,1823906,IL11
292,Rick Laib ,(R),IL, 11,N/a,N/a,36.7,20343,20064,IL11
293,Mike Bost ,(R),IL, 12,Incumbent,Winner,60.6,1918041,1509573,IL12
294,Ray Lenzi ,(D),IL, 12,N/a,N/a,39.4,161324,104809,IL12
295,Rodney Davis ,(R),IL, 13,Incumbent,Winner,54.4,4943459,4822600,IL13
296,Betsy Dirksen Londrigan ,(D),IL, 13,N/a,N/a,45.6,5297007,5281880,IL13
297,Lauren A Underwood ,(D),IL, 14,Incumbent,Winner,50.7,7803579,7301503,IL14
298,Jim Oberweis ,(R),IL, 14,N/a,N/a,49.3,2438857,2348798,IL14
299,Mary Miller ,(R),IL, 15,N/a,Winner,73.5,689057,570356,IL15
300,Erika Weaver ,(D),IL, 15,N/a,N/a,26.5,58689,23349,IL15
301,Adam Kinzinger ,(R),IL, 16,Incumbent,Winner,64.8,2105736,1588550,IL16
302,Dani Brzozowski ,(D),IL, 16,N/a,N/a,35.2,459344,376167,IL16
303,Cheri Bustos ,(D),IL, 17,Incumbent,Winner,52.0,4975192,6391009,IL17
304,Esther Joy King ,(R),IL, 17,N/a,N/a,48.0,2032878,2030587,IL17
305,Darin LaHood ,(R),IL, 18,Incumbent,Winner,70.5,3248113,1749128,IL18
306,Frank Mrvan Jr ,(D),IN, 01,N/a,Winner,56.6,578635,464407,IN01
307,Mark Leyva ,(R),IN, 01,N/a,N/a,40.4,16551,15343,IN01
308,Jackie Walorski ,(R),IN, 02,Incumbent,Winner,61.5,2383467,1698202,IN02
309,Pat Hackett ,(D),IN, 02,N/a,N/a,38.5,881888,867301,IN02
310,Jim Banks ,(R),IN, 03,Incumbent,Winner,67.8,1202509,769591,IN03
311,Chip Coldiron ,(D),IN, 03,N/a,N/a,32.2,94056,89883,IN03
